Question,Option A,Option B,Option C,Option D,Answer
9 11 33 13 15 33 17,32 26,19 33,33 35,33 19,A
28 25 5 21 18 5 14,11 5,10 7,11 8,A
8 11 21 15 18 21 22,10 5,25 18,25 21,25 29,B
9 16 23 30 37 44 51,22 26,59 66,56 62,58 66,D
2 8 14 20 26 32 38,54 61,2 46,44 50,42 48,B
9 11 33 13 15 33 17,32 26,19 33,33 35,33 19,A
28 25 5 21 18 5 14,11 5,10 7,11 8,A
8 11 21 15 18 21 22,10 5,25 18,25 21,25 29,B
9 16 23 30 37 44 51,22 26,59 66,56 62,58 66,D
2 8 14 20 26 32 38,54 61,2 46,44 50,42 48,B
9 11 33 13 15 33 17,32 26,19 33,33 35,33 19,A
28 25 5 21 18 5 14,11 5,10 7,11 8,A
8 11 21 15 18 21 22,10 5,25 18,25 21,25 29,B
9 16 23 30 37 44 51,22 26,59 66,56 62,58 66,D
2 8 14 20 26 32 38,54 61,2 46,44 50,42 48,B
9 11 33 13 15 33 17,32 26,19 33,33 35,33 19,A
42 40 38 35 33 31 28,25 22,26 23,26 24,C
6 10 14 18 22 26 30,26 22,36 40,33 37,38 42,E
8 12 9 13 10 14 11,34 38,14 11,15 12,8 15,B
36 31 29 24 22 17 15,8 5,13 11,10 5,13 8,E
3 5 35 10 12 35 17,10 8,22 35,35 19,19 35,C
42 40 38 35 33 31 28,25 22,26 23,26 24,C
6 10 14 18 22 26 30,26 22,36 40,33 37,38 42,E
8 12 9 13 10 14 11,34 38,14 11,15 12,8 15,B
36 31 29 24 22 17 15,8 5,13 11,10 5,13 8,E
3 5 35 10 12 35 17,10 8,22 35,35 19,19 35,C
42 40 38 35 33 31 28,25 22,26 23,26 24,C
6 10 14 18 22 26 30,26 22,36 40,33 37,38 42,E
8 12 9 13 10 14 11,34 38,14 11,15 12,8 15,B
36 31 29 24 22 17 15,8 5,13 11,10 5,13 8,E
3 5 35 10 12 35 17,10 8,22 35,35 19,19 35,C
42 40 38 35 33 31 28,25 22,26 23,26 24,C
6 10 14 18 22 26 30,26 22,36 40,33 37,38 42,E
8 12 9 13 10 14 11,34 38,14 11,15 12,8 15,B
36 31 29 24 22 17 15,8 5,13 11,10 5,13 8,E
3 5 35 10 12 35 17,10 8,22 35,35 19,19 35,C
42 40 38 35 33 31 28,25 22,26 23,26 24,C
6 10 14 18 22 26 30,26 22,36 40,33 37,38 42,E
8 12 9 13 10 14 11,34 38,14 11,15 12,8 15,B
36 31 29 24 22 17 15,8 5,13 11,10 5,13 8,E
3 5 35 10 12 35 17,10 8,22 35,35 19,19 35,C
"Look at this series: F2, __, D8, C16, B32, ... What number should fill the blank?",A16,G4,E4,C
"Look at this series: 664, 332, 340, 170, ____, 89, ... What number should fill the blank?",85,97,109,178,D
"Look at this series: V, VIII, XI, XIV, __, XX, ... What number should fill the blank?",XXIII,XV,XVII,70,D
"Look at this series: 70, 71, 76, __, 81, 86, 70, 91, ... What number should fill the blank?",80,96,8,14,A
"Look at this series: F2, __, D8, C16, B32, ... What number should fill the blank?",A16,G4,E4,C
"Look at this series: 664, 332, 340, 170, ____, 89, ... What number should fill the blank?",85,97,109,178,D
"Look at this series: V, VIII, XI, XIV, __, XX, ... What number should fill the blank?",XXIII,XV,XVII,70,D
"Look at this series: 70, 71, 76, __, 81, 86, 70, 91, ... What number should fill the blank?",80,96,8,14,A
"Look at this series: F2, __, D8, C16, B32, ... What number should fill the blank?",A16,G4,E4,C
"Look at this series: 664, 332, 340, 170, ____, 89, ... What number should fill the blank?",85,97,109,178,D
"Look at this series: V, VIII, XI, XIV, __, XX, ... What number should fill the blank?",XXIII,XV,XVII,70,D
"Look at this series: 70, 71, 76, __, 81, 86, 70, 91, ... What number should fill the blank?",80,96,8,14,A
"Look at this series: F2, __, D8, C16, B32, ... What number should fill the blank?",A16,G4,E4,C
"Look at this series: 664, 332, 340, 170, ____, 89, ... What number should fill the blank?",85,97,109,178,D
"Look at this series: V, VIII, XI, XIV, __, XX, ... What number should fill the blank?",XXIII,XV,XVII,70,D
"Look at this series: 70, 71, 76, __, 81, 86, 70, 91, ... What number should fill the blank?",80,96,8,14,A
"Look at this series: F2, __, D8, C16, B32, ... What number should fill the blank?",A16,G4,E4,C
"Look at this series: 664, 332, 340, 170, ____, 89, ... What number should fill the blank?",85,97,109,178,D
"Look at this series: V, VIII, XI, XIV, __, XX, ... What number should fill the blank?",XXIII,XV,XVII,70,D
"Look at this series: 70, 71, 76, __, 81, 86, 70, 91, ... What number should fill the blank?",80,96,8,14,A
"SCD, TEF, UGH, ____, WKL",CMN,UJI,VIJ,C
"B2CD, _____, BCD4, B5CD, BC6D",B2C2D,BC3D,B2C3D,BCD7,B
"FAG, GAF, HAI, IAH, ____",HAL,HAK,JAI,OLPA,A
"ELFA, GLHA, ILJA, _____, MLNA",LLMA,KLLA,GRR,GSS,D
"SCD, TEF, UGH, ____, WKL",CMN,UJI,VIJ,C
"B2CD, _____, BCD4, B5CD, BC6D",B2C2D,BC3D,B2C3D,BCD7,B
"FAG, GAF, HAI, IAH, ____",HAL,HAK,JAI,OLPA,A
"ELFA, GLHA, ILJA, _____, MLNA",LLMA,KLLA,GRR,GSS,D
"SCD, TEF, UGH, ____, WKL",CMN,UJI,VIJ,C
"B2CD, _____, BCD4, B5CD, BC6D",B2C2D,BC3D,B2C3D,BCD7,B
"FAG, GAF, HAI, IAH, ____",HAL,HAK,JAI,OLPA,A
"ELFA, GLHA, ILJA, _____, MLNA",LLMA,KLLA,GRR,GSS,D
"SCD, TEF, UGH, ____, WKL",CMN,UJI,VIJ,C
"B2CD, _____, BCD4, B5CD, BC6D",B2C2D,BC3D,B2C3D,BCD7,B
"FAG, GAF, HAI, IAH, ____",HAL,HAK,JAI,OLPA,A
"ELFA, GLHA, ILJA, _____, MLNA",LLMA,KLLA,GRR,GSS,D
"SCD, TEF, UGH, ____, WKL",CMN,UJI,VIJ,C
"B2CD, _____, BCD4, B5CD, BC6D",B2C2D,BC3D,B2C3D,BCD7,B
"FAG, GAF, HAI, IAH, ____",HAL,HAK,JAI,OLPA,A
"ELFA, GLHA, ILJA, _____, MLNA",LLMA,KLLA,GRR,GSS,D
